OBJECTID,CMPTRL_CNTY_NBR,DPS_CNTY_NBR,FIPS_ST_CNTY_CD,TXDOT_CNTY_NBR,TXDOT_DIST_NBR,CNTY_NM,GID,SHAPE_Length,SHAPE_Area
144,42,42,48083,42,23,Coleman,124,2.67564161557238,0.316062150907941
145,200,200,48399,200,7,Runnels,125,2.03956623593962,0.260601359757568
146,25,25,48049,25,23,Brown,126,2.08133328857481,0.235971248645457
147,41,41,48081,41,7,Coke,127,1.9557435609255,0.229217246255049
148,55,55,48109,55,24,Culberson,128,4.07005223436394,0.937339585407327
149,216,216,48431,216,7,Sterling,129,1.94680766852984,0.227750366366661
150,87,87,48173,88,7,Glasscock,130,1.89244477138035,0.222376634832502
151,165,165,48329,165,6,Midland,131,1.89389888818815,0.222664973572893
152,68,68,48135,69,6,Ector,132,1.89477237151468,0.222982336055047
153,210,210,48419,210,11,Shelby,133,2.6787904283633,0.205815863475528
154,248,248,48495,248,6,Winkler,134,1.92801962222087,0.20737227893342
155,115,115,48229,116,24,Hudspeth,135,4.97981890856092,1.1233564812349
156,1,1,48001,1,10,Anderson,136,3.70900890918136,0.265992523204807
157,71,71,48141,72,24,El Paso,137,2.43551502677588,0.250160036668449
158,18,18,48035,18,9,Bosque,138,2.55411393087281,0.247533572375835
159,37,37,48073,37,10,Cherokee,139,3.63915232297724,0.262098521006231
160,47,47,48093,47,23,Comanche,140,2.0899335084428,0.235320130543604
161,109,109,48217,110,9,Hill,141,2.5701646205197,0.243709010447672
162,213,213,48425,213,2,Somervell,142,0.911909928339092,0.0474734691554134
163,175,175,48349,175,18,Navarro,143,2.49605451526061,0.268572716667871
164,107,107,48213,108,10,Henderson,144,3.15253653869509,0.23505587252742
165,30,30,48059,30,8,Callahan,145,1.89705092554455,0.223365548582643
166,201,201,48401,201,10,Rusk,146,2.44774156208684,0.232434817238506
167,67,67,48133,68,23,Eastland,147,1.9845747718953,0.230725927230232
168,221,221,48441,221,8,Taylor,148,1.91963275131238,0.227957589800205
169,72,72,48143,73,2,Erath,149,2.10900999160467,0.269519369433615
170,177,177,48353,177,8,Nolan,150,1.90961306726641,0.226738666471517
171,183,183,48365,183,19,Panola,151,2.05738327475134,0.203268384182497
172,168,168,48335,168,8,Mitchell,152,1.91465239918941,0.227360806110417
173,114,114,48227,115,8,Howard,153,1.90037524429893,0.224254076130071
174,156,159,48317,156,6,Martin,154,1.91268474695644,0.227088607139378
175,199,199,48397,199,18,Rockwall,178,0.777033990918841,0.0370901749248666
